FID,objectid,EU_CD,MS_CD,NAME,ALTNAME1,ALTNAME2,ALTNAME3,BASIN_CD,CHARACTER_,shape_area,shape_len,the_geom
c9018d5e-93f1-47bb-a62d-3b86a6518ec4.0,1,GR001100030020H,001100030020H,ΛΙΜΝΗ ΚΕΡΚΙΝΗ,KERKINI LAKE,,,11,Insufficient Data,46088780,70604.0078125,"MULTIPOLYGON (((422966.5938 4561053, 423051.49990000017 4561114.0002, 423141.5938 4561276.0001, 423241.81269999966 4561524.0002, 423362.09360000025 4561314.0001, 423473.9062 4561094.0002, 423519.50019999966 4561398.9999, 423583.9063 4561476, 423623.9063 4561670.0002, 423658.18759999983 4561766.0001, 423764.49990000017 4561932.0001, 423842.5937 4561998.0002, 423927.9062 4562050.9998, 424028.0938 4562065.0001, 424188.59360000025 4562167.9999, 424230.0937 4562362.9999, 424094.31230000034 4562499.9999, 424135.9063 4562652.0001, 424238.00009999983 4562677, 424340.81259999983 4562670.9999, 424444.18769999966 4562659, 424610.90610000025 4562741, 424680.3125 4562818.0001, 424750.31230000034 4562894.9998, 424923.6875 4562973.0002, 425027.6875 4562975.0002, 425212.5939 4563049, 425450.81259999983 4563211, 425585.90610000025 4563257.9999, 425684.00019999966 4563282, 425846.18740000017 4563392.0001, 425912.50009999983 4563576.9999, 425911.18759999983 4563678.0001, 425858.31269999966 4563871.9998, 425750.59360000025 4564030.0001, 425595.68740000017 4564156.0002, 425515.8125 4564218.0002, 425437.31269999966 4564280.0002, 425339.68759999983 4564444.0002, 425272.50009999983 4564630.0002, 425268.0939 4564828.0001, 425275.31230000034 4564928.9998, 425284.81259999983 4565029.0002, 425297.99990000017 4565127.9999, 425397.0938 4565300, 425531.09360000025 4565479.9999, 425566.4064 4565309, 425524.59360000025 4565218, 425478.68730000034 4565127.0001, 425437.6875 4565036.0001, 425400.1875 4564841.9999, 425401.5938 4564741.0002, 425408.99980000034 4564640, 425462.31259999983 4564449.0001, 425529.3125 4564374, 425609.0939 4564314, 425772.59360000025 4564201.9999, 425872.68740000017 4564216.0001, 426056.81240000017 4564157, 426157.0938 4564145.0002, 426291.18740000017 4564023.0002, 426305.68759999983 4563919.0002, 426312.9064 4563817.0002, 426219.40610000025 4563653.0002, 426267.18740000017 4563565.0001, 426275.49980000034 4563366.9998, 426273.68740000017 4563266.9999, 426270.49990000017 4563166.9999, 426307.31240000017 4562993.0001, 426467 4563080, 426538.0938 4563151.9998, 426608.50009999983 4563224, 426710.81240000017 4563390.0001, 426846.31230000034 4563534.9999, 427005.31240000017 4563426, 427072.40610000025 4563350.9999, 427136.5938 4563272.0002, 427196.99980000034 4563191.9998, 427248.09360000025 4563106.0001, 427345.8125 4562931.0001, 427498.8125 4562960.0001, 427488.99990000017 4563062.0001, 427489.31259999983 4563162, 427521.9062 4563359.0001, 427521.09360000025 4563459, 427538.8125 4563556.9999, 427606.5937 4563742.0001, 427624.81259999983 4563940, 427653.31259999983 4564037.0001, 427687.18740000017 4564130.9999, 427777.8125 4564309.0002, 427834.68759999983 4564392, 427889.31240000017 4564476, 427981.68740000017 4564646.9999, 428039.3125 4564730.0001, 428098.31269999966 4564810.9999, 428229.31259999983 4564959.9998, 428269.59360000025 4565052.9998, 428377.5937 4565214, 428467.31240000017 4565262.9999, 428545.68759999983 4565326.0001, 428622.09360000025 4565391.9998, 428742.90610000025 4565548.0001, 428798.31269999966 4565732.9999, 428961.9062 4565838.0001, 429038.4064 4565904.0002, 429119.81259999983 4565962.0001, 429292.49990000017 4566062.9999, 429365.49990000017 4566131.9998, 429477.9062 4566295, 429549.9064 4566366, 429709.6875 4566481.9998, 429883.31240000017 4566558.9999, 430147 4566594, 430334.50019999966 4566541.9998, 430527.68740000017 4566520.0002, 430627.09360000025 4566501.9998, 430820.4062 4566505.9999, 431010.0937 4566561, 431200.5937 4566607.9999, 431398.3125 4566627.0001, 431593.09360000025 4566667, 431726.3125 4566605, 431612.9064 4566538.0001, 431512.5937 4566541, 431419 4566505.0001, 431423.68759999983 4566355, 431621.9063 4566348.9999, 431720.5938 4566330.9999, 431916.9063 4566332.0001, 432011.59360000025 4566365.0002, 432103.00009999983 4566407.0002, 432296.5938 4566432.0001, 432482.4062 4566390.0001, 432583.1875 4566399, 432763.50009999983 4566447.0002, 432849.09360000025 4566501, 432887.68769999966 4566656.9998, 432688.68759999983 4566662.0001, 432590.5939 4566642.0002, 432492.31259999983 4566622.0002, 432292.81259999983 4566620.9999, 432196.00009999983 4566594, 432000.59360000025 4566562.0002, 431884.0939 4566698.9999, 432075 4566745, 432275.50019999966 4566745, 432376.31230000034 4566742.9999, 432476.31269999966 4566746.0002, 432575.5 4566758.9998, 432673.18759999983 4566782.0001, 432859.0938 4566857.0001, 433150.31259999983 4566880, 433281.9063 4566915.0001, 433381.18740000017 4566902, 433477.18769999966 4566871.9998, 433662.9063 4566917.9999, 433854.9064 4566950.0001, 433954.9063 4566933, 434186.5 4567019.0001, 434332.4062 4566966.9999, 434430.40610000025 4566988.0001, 434612.8125 4567070.9999, 434703.0937 4567114.0001, 434931.40610000025 4567130.0001, 434758.31269999966 4566999.0001, 434680.81269999966 4566935.0001, 434602.9062 4566869, 434520.81240000017 4566811, 434433.9063 4566760.0001, 434344.0937 4566714, 434252.31240000017 4566673.0002, 434057.9062 4566649.0001, 433867.90610000025 4566594.9998, 433768.1875 4566585, 433581.0939 4566644.0002, 433480.8125 4566645.9998, 433324.31240000017 4566531.0002, 433132.0937 4566494.0001, 432993.1875 4566359, 432928.6875 4566279.0001, 432858.81240000017 4566206.9999, 432774.9062 4566151, 432681.81240000017 4566113.9999, 432581.5939 4566117.0001, 432476.5937 4566084.9999, 432360.5938 4566128.0002, 432274.99990000017 4566181.0002, 432090.00009999983 4566166.9999, 431988.90610000025 4566171, 431798.6875 4566126.0001, 431697.68730000034 4566137.0001, 431597.0937 4566146.9999, 431408.31269999966 4566104.0001, 431287.68740000017 4566022.0001, 431372.18730000034 4565856.0001, 431379.49990000017 4565754.0001, 431424.8125 4565566, 431464.9063 4565473.9998, 431503.18769999966 4565380.9998, 431510.18759999983 4565184.0002, 431481.6875 4565087.9999, 431466.31259999983 4564916.0002, 431381.4062 4564784, 431327.4063 4564699.0001, 431239.68759999983 4564524.0001, 431172.81240000017 4564449.0001, 431120.18759999983 4564260.0002, 431113.68759999983 4564159.9999, 431057.9062 4563968.9999, 431052.0937 4563869, 431050.5939 4563767.9998, 431038.49990000017 4563569.0001, 431021.68740000017 4563468, 430933.31240000017 4563294.0002, 430862.68769999966 4563222.9998, 430785.68759999983 4563155.9999, 430709.3125 4563089.9998, 430630.5 4563027, 430465.1875 4562927.9999, 430389.9064 4562861, 430321.3125 4562788, 430257.4063 4562710.9999, 430196 4562630.9999, 430136.68759999983 4562550.0001, 430030.81259999983 4562389.9998, 430012.18759999983 4562224.0002, 430076.31240000017 4562143.9998, 430153.81240000017 4561965.0001, 430212.0937 4561784, 430320.99980000034 4561624.9999, 430395.5938 4561558, 430469.4064 4561489.0001, 430603.18730000034 4561341, 430666.31259999983 4561263.0001, 430795.4064 4561110.0001, 430869.00009999983 4561042, 431043.1875 4560944.9999, 431134.59360000025 4560904.0001, 431281.81230000034 4560917.0001, 431263.81240000017 4560712, 431366 4560649.0001, 431395.31259999983 4560552.9999, 431433.59360000025 4560459.9998, 431547.5 4560297.0001, 431618.00009999983 4560224.9999, 431690.0937 4560155.9999, 431763.31259999983 4560087, 431837.81230000034 4560018.9999, 431913.40610000025 4559954, 432084.8125 4559863.9998, 432169.09360000025 4559809.0002, 432357.1875 4559752.9999, 432540.0938 4559708.9998, 432692.3125 4559579.0001, 432769.1875 4559515.0001, 432846.5937 4559451, 432922.50019999966 4559386.0001, 433063.31269999966 4559244.0002, 433196.40610000025 4559094.9999, 433326.81230000034 4558943.9999, 433391.40610000025 4558866.9998, 433519.81269999966 4558713.9999, 433648.31269999966 4558560.0001, 433774.5938 4558411.0002, 433868.9063 4558261.9999, 433933.31240000017 4558185.0002, 433998.18759999983 4558108.9999, 434062.68759999983 4558032.0002, 434125.59360000025 4557953.9999, 434240.8125 4557791.0001, 434293.0937 4557705, 434346.9064 4557621, 434405.5938 4557539.9998, 434469.3125 4557461.9999, 434616.6875 4557326.9999, 434704.5 4557277.0001, 434896.8125 4557233, 434997.99990000017 4557230.0002, 435011.1875 4557051.9999, 435018.0937 4556952, 435025.18740000017 4556852, 435041.68759999983 4556653, 435074.00009999983 4556455.9999, 435112.68759999983 4556260.0001, 435131.50019999966 4556061, 435152.5 4555862, 435169.81240000017 4555764.0001, 435216.5 4555569.0001, 435227.5 4555469.9999, 435243.18759999983 4555270.9999, 435249.5939 4555170.9999, 435256.18769999966 4555071, 435263.81259999983 4554971, 435285 4554772, 435298.4062 4554672.9998, 435329.81230000034 4554475, 435381.68740000017 4554284.9999, 435378 4554184.0001, 435186.8125 4554076, 435063.68759999983 4554140.0001, 434962.18759999983 4554151.0001, 434778.6875 4554222.9999, 434694.5937 4554279.0002, 434543.81259999983 4554410.9999, 434478.0939 4554488, 434418.81240000017 4554568.9998, 434352.5938 4554753.0002, 434258.68740000017 4554929.9998, 434248.18769999966 4555030.0002, 434095.18769999966 4555153, 433994.0937 4555155.9998, 433807.81269999966 4555210.9999, 433734.31240000017 4555281.0001, 433610.0939 4555436.0001, 433599.31230000034 4555536, 433535.31269999966 4555613.0001, 433455.9064 4555675.9999, 433269.99980000034 4555742, 433074.99980000034 4555773, 432893.31259999983 4555853, 432815.0938 4555917, 432738.1875 4555983.0001, 432644.31230000034 4556143.9999, 432509.0938 4556283, 432328.31259999983 4556360.9999, 432226.31259999983 4556533, 432218.4063 4556634.0002, 432237.9063 4556834.0001, 432167.9062 4557005.9998, 432081.18730000034 4557062.0001, 432015.0938 4557251, 431983.5939 4557439.9999, 431901.00019999966 4557499, 431811.40610000025 4557550.9998, 431720.18769999966 4557594.0001, 431524.0937 4557619, 431428.9064 4557651.0002, 431333.4064 4557681, 431144.81269999966 4557722.0002, 430945.0938 4557734, 430851.31240000017 4557769.0001, 430761.0938 4557813.0001, 430592.68759999983 4557920, 430430.18740000017 4558037.0001, 430273.31240000017 4558161.0001, 430199.0937 4558228.9998, 430051.81240000017 4558363.9999, 429893.1875 4558485.9998, 429811.0937 4558544.0002, 429728.00009999983 4558600, 429644.0939 4558655.9999, 429474.49990000017 4558762, 429294.68759999983 4558835.9998, 429100.31259999983 4558797.0001, 428999.81230000034 4558803.0002, 428900.81259999983 4558824.9998, 428705.49990000017 4558819.9999, 428608.31259999983 4558792.0002, 428425.00009999983 4558711.9998, 428343.00009999983 4558653.9999, 428208.5 4558624.9999, 428119.00019999966 4558580.0001, 428025 4558542.0001, 427832.0938 4558500.9999, 427731.50009999983 4558516.9998, 427539.68759999983 4558485.9998, 427439.09360000025 4558485.9998, 427338.9064 4558491.9999, 427241.49980000034 4558516, 427074.81259999983 4558607.9998, 426996.31240000017 4558671, 426901.90610000025 4558704.0001, 426766.5938 4558835.9998, 426671.40610000025 4558868.0001, 426516.31269999966 4558974.0001, 426489.31240000017 4559070.9998, 426403.6875 4559249.9999, 426229.9062 4559331.9999, 426074.50009999983 4559457.0001, 425997.99990000017 4559522.9998, 425921.81240000017 4559588.9999, 425845.59360000025 4559654.0002, 425629.99990000017 4559790.9998, 425539.0938 4559878.9999, 425466.31259999983 4559947.9999, 425287.4064 4560020.0001, 425103.8125 4560022.9999, 424921.4064 4560087, 424820.3125 4560087, 424629.9063 4560049, 424469.0938 4560166.9999, 424408.4063 4560246.0001, 424280.00009999983 4560399.9999, 424117.68740000017 4560505.9999, 424055.68740000017 4560591.0002, 423883.31240000017 4560643.9998, 423709.40610000025 4560700.9999, 423526.5939 4560765, 423329.9062 4560765, 423240.81240000017 4560815.0002, 423049.59360000025 4560847, 422974.1875 4560913.9999, 422966.5938 4561053), (428147.6875 4564143.0001, 428143.3125 4564042, 428150.18740000017 4563842.0001, 428188.00009999983 4563747.9998, 428358.3125 4563656, 428550.49990000017 4563694, 428653.68769999966 4563698.9999, 428755.68769999966 4563693.0002, 428919.68769999966 4563596.9999, 429065.18740000017 4563458.0002, 429248.0938 4563399, 429443.31259999983 4563446, 429545.0937 4563448.9998, 429673.81259999983 4563313, 429687.68740000017 4563211.9998, 429843.81230000034 4563129.9998, 430029.09360000025 4563206.0001, 430129.00009999983 4563215.9999, 430323.0937 4563257.9999, 430413 4563303.0002, 430569.8125 4563425.0001, 430636.4063 4563499.9998, 430700.9062 4563576.9999, 430820.50009999983 4563736.9998, 430860.90610000025 4563829, 430890.59360000025 4563924.9999, 430912.9063 4564022, 430924.81240000017 4564121.9999, 430939.8125 4564321, 430979.3125 4564413.0002, 431022.5 4564604.0001, 431094.4064 4564673.9999, 431207.1875 4564837.9998, 431316.18740000017 4565001, 431347.68730000034 4565098.0001, 431320.50019999966 4565287, 431275.9064 4565378, 431222.9064 4565565.0002, 431053.99990000017 4565544.9998, 431017.50009999983 4565450.0002, 430975.68769999966 4565357.0001, 430815.50019999966 4565313.9999, 430872.6875 4565506, 430822.3125 4565676.0002, 430908.59360000025 4565728, 430987.40610000025 4565791.0002, 430979.59360000025 4565969.0001, 430908.1875 4566042.0001, 430830.49990000017 4566104.9999, 430748.0938 4566162, 430665.00009999983 4566221.0002, 430478.59360000025 4566275.9998, 430378.49990000017 4566261.0001, 430201.8125 4566171, 430124.18740000017 4566106.9999, 430012.5937 4566166.9999, 429912.18769999966 4566155.9999, 429814.81240000017 4566131, 429711.81259999983 4566064.9999, 429543.31259999983 4566000.9999, 429474.31259999983 4565925, 429398.5938 4565858.9999, 429312.31269999966 4565807.9999, 429223.4062 4565761, 429054.3125 4565674.0001, 428905.1875 4565541.0001, 428832.59360000025 4565355.9999, 428722.31240000017 4565198.0001, 428650.1875 4565129.0001, 428590.5937 4564939, 428478.9062 4564819.9999, 428261.5939 4564655.0001, 428182.18759999983 4564475.0002, 428155.0939 4564243.0001, 428147.6875 4564143.0001)))"
c9018d5e-93f1-47bb-a62d-3b86a6518ec4.1,2,GR001200030030N,001200030030N,ΛΙΜΝΗ ΙΣΜΑΡΙΔΑ,ISMARIDA LAKE,,,12,Insufficient Data,1865103.875,5520.08496094,"MULTIPOLYGON (((609871.3124000002 4538234.0001, 609922.6250999998 4538423.9998, 610019.0001999997 4538451.0001, 610211.125 4538478.0001, 610313.3750999998 4538467.9999, 610474.9998000003 4538602.9999, 610569.8126999997 4538635.0001, 610646.6251999997 4538569.9998, 610708.8749000002 4538382.0002, 610771.3748000003 4538303.9999, 610810.0001999997 4538210.9999, 610849.4998000003 4538119.0001, 610911.6875 4538041.0001, 611095.8125 4537964, 611276.625 4537900, 611353.3124000002 4537716, 611363.125 4537616.0001, 611461.1249000002 4537432.0001, 611405.1875999998 4537242, 611391.8126999997 4537142.0001, 611318.3123000003 4536960.9999, 611241.1875999998 4536779, 611183.6875 4536687.0002, 611066.8750999998 4536696.0002, 610964.4999000002 4536701.0001, 610865.1249000002 4536714.0001, 610689.3748000003 4536792, 610612.3750999998 4536856.9999, 610538.8126999997 4536929.0001, 610465.625 4536998.9999, 610393.3125 4537069, 610328.1250999998 4537144.9999, 610219.5 4537312.0002, 610169.125 4537399.0001, 610120.3125999998 4537485.9999, 610072.375 4537574.0001, 610030.375 4537665, 609989.8750999998 4537860, 609933.1873000003 4537942.9998, 609878.4999000002 4538134.0002, 609871.3124000002 4538234.0001)))"
c9018d5e-93f1-47bb-a62d-3b86a6518ec4.2,3,GR000800030010H,000800030010H,ΤΕΧΝΗΤΗ ΛΙΜΝΗ ΚΑΡΛΑΣ,KARLAS RESERVOIR,,,08,Insufficient Data,34925588,29704.89453125,"MULTIPOLYGON (((395005.9319000002 4372245.0589, 395020.0212000003 4372297.2907, 395047.3196 4372320.6895, 395089.5674 4372336.2885, 395127.9465 4372349.0744, 395518.8030000003 4374072.0183, 395855.4890999999 4375561.6029, 395885.4501 4375701.0867, 395945.9353 4375987.3257, 395978.9112 4376149.2066, 395996.7714999998 4376259.276, 396027.5985000003 4376316.0631, 396186.6022 4376183.0192, 396325.3668 4376153.5431, 396611.1174 4376185.2931, 396976.2429 4376260.6993, 397030.5598 4376102.5704, 397151.8141 4375939.343, 397235.7594999997 4375813.4253, 397277.73220000044 4375608.2256, 397259.0776000004 4375272.444, 397310.37760000024 4375132.5351, 397384.40670000017 4375013.4788, 397502.5899 4374823.4126, 397282.3957000002 4374647.5176, 397192.0848000003 4374540.4045, 397094.6984000001 4374424.8995, 396999.4526000004 4374315.2686, 396916.84779999964 4374170.0847, 396886.80960000027 4374019.8946, 396896.8224 4373909.7552, 396971.91750000045 4373777.0873, 397067.03830000013 4373712.0047, 397239.7567999996 4373654.4318, 397397.4567 4373634.4065, 397577.6849999996 4373644.419, 397765.42260000017 4373669.4509, 397940.15979999956 4373770.2923, 398075.21279999986 4373854.7005, 398218.49679999985 4373942.2964, 398309.03720000014 4373988.4905, 398415.75569999963 4374035.809, 398546.4121000003 4374079.9706, 398684.0866 4374117.5181, 398785.4770999998 4374127.829, 399049.5494 4374150.0594, 399312.3825000003 4374157.5691, 399550.1837 4374182.6007, 399727.9088000003 4374227.658, 399913.14329999965 4374292.7402, 400053.32100000046 4374362.829, 400123.40979999956 4374405.3831, 400203.51109999977 4374472.9685, 400290.43740000017 4374353.7091, 400383.70969999954 4374283.7544, 400504.9644 4374129.8548, 400598.23670000024 4373980.6186, 400668.1913 4373859.3643, 400710.164 4373738.1097, 400710.164 4373416.3192, 400896.7090999996 4373099.1925, 401069.2633999996 4373005.9198, 401390.01410000026 4372798.3472, 401354.9696000004 4372718.246, 401352.4665 4372640.6474, 401477.62509999983 4372495.4635, 401667.8662 4372340.2668, 401767.9928000001 4372262.6686, 401853.1007000003 4372205.0958, 402015.80680000037 4372177.5607, 401990.727 4372029.3485, 401902.3975999998 4371507.3566, 401815.2366000004 4370972.2195, 401733.54849999957 4370462.2876, 401643.0203 4369897.1716, 401610.2446999997 4369666.7607, 401516.972 4369620.1242, 401391.0538999997 4369475.5518, 401171.86340000015 4369284.3429, 400822.091 4369051.1613, 400520.47979999986 4368810.8788, 400200.6644000001 4368554.2794, 399833.4014999997 4368230.3626, 399348.384 4367922.5629, 399222.4659000002 4367712.6997, 399117.1933000004 4367466.8399, 398989.2843000004 4367330.2819, 398784.0845999997 4367241.6731, 398480.9486999996 4367143.7369, 398308.62200000044 4366980.0341, 398131.1763000004 4366821.9464, 396436.3695 4369044.1685, 396395.92420000024 4369108.4238, 396368.1734 4369163.8775, 396376.84329999983 4369250.5778, 396408.0538999997 4369312.0874, 396454.5554999998 4369380.6159, 396540.1838999996 4369506.8051, 396677.44159999955 4369721.4623, 396843.0249 4369988.2124, 397070.4462000001 4370362.5101, 397124.95469999965 4370466.8545, 397209.3049999997 4370628.3253, 397269.8570999997 4370735.3216, 397315.3746999996 4370826.3568, 397332.7149 4370947.7373, 397274.19209999964 4371038.7729, 396959.9034000002 4371192.6658, 396566.6601 4371336.9057, 396148.07579999976 4371490.9558, 395840.45019999985 4371604.424, 395437.34970000014 4371747.7666, 395185.4742 4371839.475, 395113.14080000017 4371893.725, 395083.43230000045 4371924.725, 395070.5154 4372002.2251, 395073.0987999998 4372093.9339, 395087.30730000045 4372168.8505, 395014.9737999998 4372208.8924, 395005.9319000002 4372245.0589)))"
